acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Location
112,,Serious,1,1,01/01/2012,Sunday,1,January,12,2,0,230,Unclassified,,"Single carriageway - 2 lanes",60,"Not at or within 20 metres of junction",unset,"\",,"Darkness: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",314360,676710,0,Unset,S.V.N.P.,354345,unset,EH309UA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97571,-3.37387"
1612,,Slight,2,1,01/01/2012,Sunday,1,January,12,18,30,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fog (or mist if hazard)",Dry,None,None,"No overtaking",322870,676760,559676,Segment,T.V.N.P.,354346,unset,EH51LT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97761,-3.23756"
1712,,Slight,2,2,01/01/2012,Sunday,1,January,12,17,30,230,C,,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",322590,670360,529981,Junction,T.V.N.P.,354347,unset,EH141DW,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.92007,-3.24021"
2212,,Slight,2,1,31/12/2012,Monday,31,December,12,20,40,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",320170,670110,0,Unset,Bus,363498,unset,EH142QE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91743,-3.27884"
2312,,Slight,3,1,31/12/2012,Monday,31,December,12,18,0,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Darkness: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",331550,667910,2579296,Segment,M.V.N.P.,363499,unset,EH221RT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89942,-3.09624"
2712,,Slight,2,1,02/01/2012,Monday,2,January,12,11,54,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326540,667070,2588155,Segment,T.V.N.P.,354348,unset,EH209NR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89114,-3.17612"
3312,,Slight,2,1,02/01/2012,Monday,2,January,12,18,40,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",326500,672680,522462,Junction,T.V.N.P.,354349,unset,EH89RB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94153,-3.17829"
3412,,Slight,1,1,03/01/2012,Tuesday,3,January,12,4,25,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",318920,669960,2579027,Segment,S.V.N.P.,354350,unset,EH142SR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91588,-3.29879"
3612,,Serious,1,1,31/12/2012,Monday,31,December,12,17,43,230,A,8,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",325820,673990,517891,Junction,Pedestrian,363500,unset,EH22EJ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.9532,-3.18954"
3912,,Slight,1,1,03/01/2012,Tuesday,3,January,12,9,0,230,A,720,"Dual carriageway - 2 lanes",70,"Slip road","Give way sign or markings",A,720,"Daylight: no street lighting","Raining with high winds",Dry,None,None,"No overtaking",318780,670130,2581994,Junction,S.V.N.P.,354351,unset,EH142SR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91738,-3.30108"
